feature_id,d_abs,auc,spearman,boot_sign_agree,boot_rank_stability,is_candidate
NDW_2-gram_NDW,0.19902715379837718,0.5589276480261262,0.13596513979869254,1.0,0.0,False
NDW_3-gram_NDW,0.19913702723381896,0.5593134959127994,0.13667136187466655,1.0,0.0,False
NDW_4-gram_NDW,0.2007842895918716,0.5598882823538771,0.13759925455904248,1.0,0.0,False
NDW_5-gram_NDW,0.20118627972103306,0.56008339233003,0.1379492827251116,1.0,0.0,False
NDW_6-gram_NDW,0.20142603375061474,0.5601854518705761,0.13819665762536337,1.0,0.0,False
NDW_7-gram_NDW,0.20142178974148411,0.5602053033285525,0.13829855479391093,1.0,0.0,False
NDW_8-gram_NDW,0.20134906301677757,0.560204721002686,0.13833452097200127,1.0,0.0,False
NDW_C_NDW,0.20043582337377938,0.5596118531894007,0.13619603542322317,1.0,0.0,False
NDW_E_NDW,0.17541471550419246,0.5541684943688041,0.12976869620646092,1.0,0.0,False
NDW_F_NDW,0.1995701430775269,0.5602163136009533,0.14239697532972992,1.0,0.0,False
NDW_IC_NDW,0.03118475124197742,0.494587935802819,-0.04530196255222583,1.0,0.0,False
NDW_J_NDW,0.2085834459631894,0.5623645599386228,0.14556592715154884,1.0,0.0,False
NDW_MM_NDW,0.06696191735799349,0.5261241566689018,0.06762433346879988,1.0,0.0,False
NDW_M_NDW,0.0631636863512153,0.522541139504622,0.06111538501391228,1.0,0.0,False
NDW_NNB_NDW,0.182835770030572,0.5540386249167737,0.1215212277665853,1.0,0.0,False
NDW_NNG_NDW,0.21279352892103948,0.5614456866944368,0.13299247528143676,1.0,0.0,False
NDW_NNP_NDW,0.04133419753088829,0.5029657979621824,0.005038710724548621,1.0,0.0,False
NDW_NN_NDW,0.21800055207826471,0.5634994129169318,0.13820249697736633,1.0,0.0,False
NDW_NP_NDW,0.005763824336964473,0.5031465100083146,0.03193296998962892,1.0,0.0,False
NDW_NR_NDW,0.07134162383406645,0.5145747167591634,0.029090289175732476,1.0,0.0,False
NDW_N_NDW,0.21208594575877548,0.5617402018527551,0.13624613124602444,1.0,0.0,False
NDW_VA_NDW,0.13352796254734195,0.5410496169244773,0.09396370914978563,1.0,0.0,False
NDW_VV_NDW,0.18513577350997248,0.557237197630529,0.13407888542930685,1.0,0.0,False
NDW_V_NDW,0.18842803754524204,0.5573268018678202,0.1372828183380744,1.0,0.0,False
NDW_X_NDW,0.1539921465168031,0.5475576184023158,0.11389425549697521,1.0,0.0,False
NDW_morph_NDW,0.19362416252197562,0.5566199537797176,0.12999038684079545,1.0,0.0,False
adjacency_C_adjOverlap,0.15843706183767514,0.5471422148138968,0.10455943231009722,1.0,0.0,False
adjacency_C_adjOverlap3,0.15432409778385797,0.5466439194167859,0.10655972573036877,1.0,0.0,False
adjacency_C_adjOverlap3Ratio,0.051055124536516124,0.511911619963019,0.04251612501542758,1.0,0.0,False
adjacency_C_adjOverlap3Token,0.15490763347883668,0.5488514906939538,0.11898594528854914,1.0,0.0,False
adjacency_C_adjOverlap3TokenRatio,0.020748733598200706,0.5071206038546123,0.03006154298839635,1.0,0.0,False
adjacency_C_adjOverlapRatio,0.05145225489218512,0.5077082275593943,0.032991939336819126,1.0,0.0,False
adjacency_C_adjOverlapToken,0.17114541819827372,0.5534096374081022,0.12603447125796555,1.0,0.0,False
adjacency_C_adjOverlapTokenRatio,0.01606610253547223,0.5039507439412467,0.0176802704075689,1.0,0.0,False
adjacency_C_repRatio,0.0380146180959838,0.489133407870276,-0.047740833520823506,1.0,0.0,False
adjacency_NN_adjOverlap,0.1837233788247979,0.5552916700227878,0.12010834335515248,1.0,0.0,False
adjacency_NN_adjOverlap3,0.16441776875197806,0.5485640509090867,0.11184790695762202,1.0,0.0,False
adjacency_NN_adjOverlap3Ratio,0.0627751473113072,0.5173137568841214,0.0476180281644871,1.0,0.0,False
adjacency_NN_adjOverlap3Token,0.18097850648357822,0.553611120443013,0.1188049795081614,1.0,0.0,False
adjacency_NN_adjOverlap3TokenRatio,0.04112328221984219,0.5139628539894147,0.035390473120100005,1.0,0.0,False
adjacency_NN_adjOverlapRatio,0.08225067940970332,0.5214056931722434,0.05267930694943753,1.0,0.0,False
adjacency_NN_adjOverlapToken,0.20419045922822565,0.5606411119489327,0.12971952963675823,1.0,0.0,False
